band,channel,index,macaddr,mode,radio_name,radio_type,spatial_stream,status,tx_power,utilization,ap_ap_deployment_mode,ap_client_count,ap_firmware_version,ap_group_name,ap_ip_address,ap_macaddr,ap_model,ap_name,ap_public_ip_address,ap_last_modified
1,48,0,RADIO_09e5f96de82d,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_d3f7bb59f99a,AP_8829bd03b47d,315,AP-MED19,158.109.XXX.XXX,1747356296
0,1,1,RADIO_51cad8c4b02d,0,Radio 2.4 GHz,802.11n,2x2:2,Up,8.0,26.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_d3f7bb59f99a,AP_8829bd03b47d,315,AP-MED19,158.109.XXX.XXX,1747356296
1,52,0,RADIO_ef65fb1accaf,0,Radio 5 GHz,802.11ac,4x4:4,Down,16.0,4.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_f22405a376e5,AP_5ba9fe12892b,315,AP-ECON27,158.109.XXX.XXX,1748505800
0,11,1,RADIO_286e60967885,0,Radio 2.4 GHz,802.11n,2x2:2,Down,10.0,39.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_f22405a376e5,AP_5ba9fe12892b,315,AP-ECON27,158.109.XXX.XXX,1748505800
1,108,0,RADIO_36b6a997a4e1,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_00fac68c0abe,AP_64232a24f57b,315,AP-REC23,158.109.XXX.XXX,1747356290
0,6,1,RADIO_395dad4d751f,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,15.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_00fac68c0abe,AP_64232a24f57b,315,AP-REC23,158.109.XXX.XXX,1747356290
1,116,0,RADIO_910c016a4dfb,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,3.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_3fc7bbb7e2db,AP_cf6c53d44f58,315,AP-AULAJ07,158.109.XXX.XXX,1748465513
0,1,1,RADIO_66fbe144e0b0,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,18.0,IAP,7,10.6.0.3_90581,Bellaterra,IP_3fc7bbb7e2db,AP_cf6c53d44f58,315,AP-AULAJ07,158.109.XXX.XXX,1748465513
1,64,0,RADIO_5a0744c0ba95,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,3.0,IAP,10,10.6.0.3_90581,Bellaterra,IP_f5fd101dd9fa,AP_eed4629e06f7,315,AP-LLET41,158.109.XXX.XXX,1748926693
0,6,1,RADIO_d186eebb8581,0,Radio 2.4 GHz,802.11n,2x2:2,Up,12.0,13.0,IAP,10,10.6.0.3_90581,Bellaterra,IP_f5fd101dd9fa,AP_eed4629e06f7,315,AP-LLET41,158.109.XXX.XXX,1748926693
1,104,0,RADIO_ca9aebe0f5e3,0,Radio 5 GHz,802.11ac,4x4:4,Up,21.0,1.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_8d5eee8e171a,AP_e86ab0f06b42,315,AP-CIEN43,158.109.XXX.XXX,1747356467
0,6,1,RADIO_55fc04cafeed,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,10.0,IAP,1,10.6.0.3_90581,Bellaterra,IP_8d5eee8e171a,AP_e86ab0f06b42,315,AP-CIEN43,158.109.XXX.XXX,1747356467
1,136,0,RADIO_ccae897b3945,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_cf49ac0041fa,AP_912300194509,315,AP-CIVIC09,158.109.XXX.XXX,1748079558
0,6,1,RADIO_b2968999f0f6,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,18.0,IAP,8,10.6.0.3_90581,Bellaterra,IP_cf49ac0041fa,AP_912300194509,315,AP-CIVIC09,158.109.XXX.XXX,1748079558
1,64,0,RADIO_124cc122b018,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,1.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_a18208fd9f42,AP_ae615efd1404,315,AP-LLET16,158.109.XXX.XXX,1748928347
0,6,1,RADIO_4227231fd3a7,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,21.0,IAP,0,10.6.0.3_90581,Bellaterra,IP_a18208fd9f42,AP_ae615efd1404,315,AP-LLET16,158.109.XXX.XXX,1748928347
1,136,0,RADIO_be4a165a260c,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_5a931d329323,AP_4b029cf4edd8,315,AP-CIEN95,158.109.XXX.XXX,1747085661
0,1,1,RADIO_3b13d341d071,0,Radio 2.4 GHz,802.11n,2x2:2,Up,10.0,14.0,IAP,5,10.6.0.3_90581,Bellaterra,IP_5a931d329323,AP_4b029cf4edd8,315,AP-CIEN95,158.109.XXX.XXX,1747085661
1,112,0,RADIO_0f455bb92f85,0,Radio 5 GHz,802.11ac,4x4:4,Up,16.0,2.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_f16c0a51bd78,AP_6ef63eab8008,315,AP-DRET04,158.109.XXX.XXX,1749185710
0,11,1,RADIO_03cc8714d481,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,33.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_f16c0a51bd78,AP_6ef63eab8008,315,AP-DRET04,158.109.XXX.XXX,1749185710
1,52,0,RADIO_eff8370e7719,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,14,10.6.0.3_90581,Bellaterra,IP_463fa12b8cf2,AP_2800415519b4,315,AP-CIVIC01,158.109.XXX.XXX,1748079551
0,11,1,RADIO_1af7edbf6aaf,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,23.0,IAP,14,10.6.0.3_90581,Bellaterra,IP_463fa12b8cf2,AP_2800415519b4,315,AP-CIVIC01,158.109.XXX.XXX,1748079551
1,52,0,RADIO_8989d5615701,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,1.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_92451f058edf,AP_6f6328dc8cc8,315,AP-ETSE48,158.109.XXX.XXX,1747066744
0,1,1,RADIO_37331e13afe4,0,Radio 2.4 GHz,802.11n,2x2:2,Up,9.0,25.0,IAP,3,10.6.0.3_90581,Bellaterra,IP_92451f058edf,AP_6f6328dc8cc8,315,AP-ETSE48,158.109.XXX.XXX,1747066744
1,104,0,RADIO_5f0b79d007c0,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,3.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_a0831a10ff9f,AP_a801626c9b34,315,AP-AULAJ09,158.109.XXX.XXX,1749027169
0,11,1,RADIO_d8777ce4aefa,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,29.0,IAP,6,10.6.0.3_90581,Bellaterra,IP_a0831a10ff9f,AP_a801626c9b34,315,AP-AULAJ09,158.109.XXX.XXX,1749027169
1,64,0,RADIO_2e7f931e4379,0,Radio 5 GHz,802.11ac,4x4:4,Up,15.0,2.0,IAP,24,10.6.0.3_90581,Bellaterra,IP_3ba48e4c1077,AP_10d4ceb8393a,315,AP-CIVIC05,158.109.XXX.XXX,1748079551
0,11,1,RADIO_798b50885c5e,0,Radio 2.4 GHz,802.11n,2x2:2,Up,11.0,46.0,IAP,24,10.6.0.3_90581,Bellaterra,IP_3ba48e4c1077,AP_10d4ceb8393a,315,AP-CIVIC05,158.109.XXX.XXX,1748079551
